ชื่อหอพัก,ราคาเช่า / เดือน,ขนาดห้อง /ตร.ม,ระยะทางถึง มหาลัย / กม.,ระยะทางถึงขนส่ง / กม.,ระยะทางถึงร้านอาหาร / กม.,ที่จอดรถ (1/0),ค่าน้ำ / บาท,ค่าไฟ,เขตที่ตั้ง,มหาลัย (1/0),,Link
เสริมสวัสดิ์ อพาร์ทเมนท์ วงศ์สว่าง,"3,400",21,3,1.4,0.75,1,17,6.5,2,1,,https://www.renthub.in.th/เสริมสวัสดิ์-อพาร์ทเมนท์-วงศ์สว่าง
เสริมสวัสดิ์ อพาร์ทเมนท์ วงศ์สว่าง,"3,900",24,3,1.4,0.75,1,17,6.5,2,1,,https://www.renthub.in.th/เสริมสวัสดิ์-อพาร์ทเมนท์-วงศ์สว่าง
รำไพอพาร์ทเม้นท์,"3,000",28,1.7,0.7,0.1,0,15,6,2,0,,https://www.hongpak.in.th/rooms/819-รำไพอพาร์ทเม้นท์
เอกมัยคอนโดทาวน์ ซอย28-30,"6,500",25,0.6,0.4,0.3,1,18,4.5,1,1,,https://www.hongpak.in.th/rooms/59761-เอกมัยคอนโดทาวน์-ซอย28-30
เอกมัยคอนโดทาวน์ ซอย28-30,"7,000",25,0.6,0.4,0.3,1,18,4.5,1,1,,https://www.hongpak.in.th/rooms/59761-เอกมัยคอนโดทาวน์-ซอย28-30
พีพีเพลส อพาร์ทเม้นท์,"4,200",25,2.5,0.7,0.13,1,18,8,1,0,,https://www.hongpak.in.th/rooms/50724-พีพีเพลส-อพาร์ทเม้นท์
พีพีเพลส อพาร์ทเม้นท์,"4,500",25,2.5,0.7,0.13,1,18,8,1,0,,https://www.hongpak.in.th/rooms/50724-พีพีเพลส-อพาร์ทเม้นท์
พีพีเฮ้าส์ อพาร์ทเม้นท์ สุขุมวิท50 แยกสวัสดี4,"4,000",25,1.8,0.6,0.1,1,18,8,1,0,,https://www.hongpak.in.th/rooms/52385-พีพีเฮ้าส์-อพาร์ทเม้นท์-สุขุมวิท50-แยกสวัสดี4
พีพีเฮ้าส์ อพาร์ทเม้นท์ สุขุมวิท50 แยกสวัสดี4,"5,000",25,1.8,0.6,0.1,1,18,8,1,0,,https://www.hongpak.in.th/rooms/52385-พีพีเฮ้าส์-อพาร์ทเม้นท์-สุขุมวิท50-แยกสวัสดี4
เลดี้ดอร์ม,"2,000",12,1.7,0.88,1,1,20,7,2,1,,https://www.renthub.in.th/เลดี้ดอร์ม
